Date,Time,Day,Intensity,Comment
25-05-2022,6,Wednesday,1,very low
25-05-2022,7,Wednesday,1,very low
25-05-2022,8,Wednesday,2,low
25-05-2022,9,Wednesday,3,moderate
25-05-2022,10,Wednesday,3,moderate
25-05-2022,11,Wednesday,3,moderate
25-05-2022,12,Wednesday,4,high
25-05-2022,13,Wednesday,4,high
25-05-2022,14,Wednesday,3,moderate
25-05-2022,15,Wednesday,3,moderate
25-05-2022,16,Wednesday,3,moderate
25-05-2022,17,Wednesday,4,high
25-05-2022,18,Wednesday,4,high
25-05-2022,19,Wednesday,4,high
25-05-2022,20,Wednesday,4,high
25-05-2022,21,Wednesday,4,high
25-05-2022,22,Wednesday,3,moderate
25-05-2022,23,Wednesday,2,low
26-05-2022,6,Thursday,1,very low
26-05-2022,7,Thursday,1,very low
26-05-2022,8,Thursday,1,very low
26-05-2022,9,Thursday,2,low
26-05-2022,10,Thursday,2,low
26-05-2022,11,Thursday,3,moderate
26-05-2022,12,Thursday,4,high
26-05-2022,13,Thursday,3,moderate
26-05-2022,14,Thursday,4,high
26-05-2022,15,Thursday,3,moderate
26-05-2022,16,Thursday,3,moderate
26-05-2022,17,Thursday,4,high
26-05-2022,18,Thursday,3,moderate
26-05-2022,19,Thursday,4,high
26-05-2022,20,Thursday,4,high
26-05-2022,21,Thursday,3,moderate
26-05-2022,22,Thursday,4,high
26-05-2022,23,Thursday,2,low
27-05-2022,6,Friday,1,very low
27-05-2022,7,Friday,1,very low
27-05-2022,8,Friday,1,very low
27-05-2022,9,Friday,2,low
27-05-2022,10,Friday,2,low
27-05-2022,11,Friday,3,moderate
27-05-2022,12,Friday,4,high
27-05-2022,13,Friday,3,moderate
27-05-2022,14,Friday,4,high
27-05-2022,15,Friday,3,moderate
27-05-2022,16,Friday,3,moderate
27-05-2022,17,Friday,4,high
27-05-2022,18,Friday,3,moderate
27-05-2022,19,Friday,4,high
27-05-2022,20,Friday,4,high
27-05-2022,21,Friday,4,high
27-05-2022,22,Friday,4,high
27-05-2022,23,Friday,2,low
28-05-2022,6,Saturday,1,very low
28-05-2022,7,Saturday,1,very low
28-05-2022,8,Saturday,1,very low
28-05-2022,9,Saturday,2,low
28-05-2022,10,Saturday,2,low
28-05-2022,11,Saturday,3,moderate
28-05-2022,12,Saturday,4,high
28-05-2022,13,Saturday,3,moderate
28-05-2022,14,Saturday,4,high
28-05-2022,15,Saturday,3,moderate
28-05-2022,16,Saturday,3,moderate
28-05-2022,17,Saturday,4,high
28-05-2022,18,Saturday,4,high
28-05-2022,19,Saturday,4,high
28-05-2022,20,Saturday,4,high
28-05-2022,21,Saturday,3,moderate
28-05-2022,22,Saturday,4,high
28-05-2022,23,Saturday,2,low
29-05-2022,6,Sunday,1,very low
29-05-2022,7,Sunday,1,very low
29-05-2022,8,Sunday,1,very low
29-05-2022,9,Sunday,2,low
29-05-2022,10,Sunday,2,low
29-05-2022,11,Sunday,3,moderate
29-05-2022,12,Sunday,4,high
29-05-2022,13,Sunday,3,moderate
29-05-2022,14,Sunday,4,high
29-05-2022,15,Sunday,3,moderate
29-05-2022,16,Sunday,3,moderate
29-05-2022,17,Sunday,4,high
29-05-2022,18,Sunday,3,moderate
29-05-2022,19,Sunday,4,high
29-05-2022,20,Sunday,4,high
29-05-2022,21,Sunday,4,high
29-05-2022,22,Sunday,4,high
29-05-2022,23,Sunday,2,low
30-05-2022,6,Monday,1,very low
30-05-2022,7,Monday,1,very low
